Time,Temperature,Change in Length
0.00000000,26.24369812,0.00000000
1.05005205,26.09107208,-0.21280009
2.10109711,26.07199097,-0.23189753
3.15101504,26.24369812,-0.24281034
4.20004320,26.13788033,-0.22644112
5.25037622,26.06289673,-0.20188725
6.30076885,26.42260551,-0.20188725
7.35005283,26.47390175,-0.22916931
8.40108776,26.37130165,-0.19370264
9.45106602,26.44755173,-0.23462573
10.50090122,26.61188889,-0.18824622
11.55009556,26.63363457,-0.17187700
12.60029411,26.93986320,-0.15005136
13.65037537,27.10128784,-0.17460519
14.70071602,27.45112610,-0.09003079
15.75088501,27.74819756,-0.06002057
16.80110931,27.70879364,-0.07093334
17.85119438,27.87541199,-0.01909745
18.90016174,28.59712601,0.03546667
19.95016289,28.93410110,0.02182567
21.00051880,29.43467712,0.07093334
22.05068207,29.38909531,0.11185646
23.10115242,30.10715294,0.19097441
24.15031052,30.52585220,0.23462570
25.20111847,30.97924995,0.29464629
26.25074959,31.63114929,0.37376431
27.30038643,32.35565186,0.45015410
28.35014534,32.89281845,0.47470787
29.40087318,33.42041779,0.52927196
30.45004845,33.71372223,0.58383608
31.50002289,33.83927917,0.57019508
32.55014801,33.93447113,0.61384642
33.60031128,34.09483719,0.58110785
34.65034866,34.88199234,0.65749764
35.70066071,35.63044357,0.78845155
36.75118637,36.57586670,0.91122079
37.80010986,37.62228394,1.00670803
38.85060883,38.86934280,1.16494405
39.90066910,39.77438736,1.25224662
40.95061493,40.96031189,1.31772351
42.00054932,42.26404190,1.46777487
43.05049133,42.90885925,1.60691333
44.10061264,43.86351395,1.73513913
45.15050888,45.27668762,1.79515946
46.20046616,46.21966934,1.92065704
47.25061035,47.07563782,2.07070851
48.30060959,48.17940521,2.19620585
49.35094833,49.31525040,2.29987788
50.40108871,50.54465485,2.39536500
51.45024490,51.32012939,2.52086258
52.50023651,52.62818146,2.61362147
53.55010223,53.70820236,2.74730349
54.60008621,54.41358566,2.88644218
55.65120316,55.59592056,2.97920108
56.70116806,57.15776443,3.12106776
57.75006866,57.68559647,3.19200110
58.80021286,58.82778168,3.35569358
59.85047150,60.01301575,3.41298604
60.90046310,60.88169479,3.54939628
61.95055389,61.72817612,3.67216563
63.00069809,62.97585678,3.83585787
64.05006409,64.05210114,3.93134546
65.10101318,65.25329590,4.03501701
66.15078735,66.19760895,4.14141703
67.20032501,67.17391205,4.29692507
68.25002289,68.20863342,4.37058640
69.30014801,69.32097626,4.47152996
70.35014343,70.31351471,4.61066866
71.40032959,71.52242279,4.74980688
72.45048523,72.45663452,4.82074070
73.50091553,73.64680481,4.97079182
74.55114746,74.47311401,5.10174561
75.60012054,75.58844757,5.19996119
76.65017700,76.55606079,5.30363274
77.70018005,77.51123810,5.46459723
78.75037384,78.86887360,5.56008434
79.80045319,79.75382233,5.63374567
80.85051727,80.94694519,5.80016661
81.90077972,82.09801483,5.91747952
82.95007324,82.78013611,6.05116129
84.00019073,84.04690552,6.17665911
85.05047607,85.07557678,6.31034088
86.10063171,86.14436340,6.36490536
87.15089417,87.03536224,6.49858713
88.20082855,88.16897583,6.62681293
89.25080109,89.19311523,6.69228983
90.30079651,90.28739166,6.85325384
91.35060883,91.06311798,6.96511030
92.40032196,92.28693390,7.06605434
93.45039368,93.48612976,7.16426945
94.50101471,94.70434570,7.31977749
95.55009460,95.53244781,7.44800329
96.60113525,96.42897034,7.55713129
97.65119934,97.71791077,7.65534639
98.70120239,98.77593994,7.79175711
99.75001526,99.74811554,7.89542913
100.80005646,100.68962097,8.00728512
101.85031128,101.89785004,8.12732601
102.90010834,102.86560059,8.23372555
103.95063782,104.01773071,8.35376740
105.00009155,104.93212128,8.44652557
106.05102539,106.08067322,8.59657764
107.10011292,106.86142731,8.69206429
108.15013123,108.17099762,8.80937767
109.20005035,109.19241333,8.93487453
110.25103760,110.25462341,9.05491638
111.30097198,111.25610352,9.18041325
112.35118866,112.53396606,9.31955147
113.40000153,113.35540009,9.41231060
114.45108795,114.39826202,9.56781864
115.50089264,115.31135559,9.63875198
116.55105591,116.52385712,9.77516270
117.60103607,117.58067322,9.85700893
118.65116119,118.66958618,9.99887562
119.70098114,119.67976379,10.15711117
120.75102234,120.74925232,10.26078320
121.80010223,121.76632690,10.35899830
122.85118866,122.98973846,10.56634235
123.90110016,123.93766022,10.57452679
124.95043945,124.95069122,10.74367523
126.00006866,125.99710846,10.87190151
127.05046082,127.07187653,10.92919350
128.10075378,128.04452515,11.08470154
129.15054321,129.10482788,11.22111130
130.20068359,130.33464050,11.34660912
131.25080872,131.43234253,11.46392155
132.30075073,132.33581543,11.57577801
133.35072327,133.19660950,11.68490696
134.40065002,134.44757080,11.81586075
135.45059204,135.37051392,11.94681454
136.50071716,136.34089661,12.04502964
137.55107117,137.60560608,12.20326614
138.60107422,138.82418823,12.32330704
139.64999390,139.58460999,12.45971680
140.70104980,140.60130310,12.57975864
141.75099182,141.74343872,12.68615818
142.80104065,142.84349060,12.78983021
143.85064697,143.71772766,12.90168667
144.90069580,144.88681030,13.08174801
145.95066833,145.97242737,13.17450714
147.00070190,146.96696472,13.32728672
148.05068970,147.94268799,13.40913296
149.10072327,149.13467407,13.54281521
150.15072632,150.09997559,13.64648724
151.20065308,151.17790222,13.78016853
152.25054932,152.03837585,13.88656902
153.30006409,153.22509766,14.03934860
154.35015869,154.15579224,14.21122551
155.40095520,155.44459534,14.35036373
156.45091248,156.36187744,14.36127663
157.50108337,157.61660767,14.52496910
158.55104065,158.60542297,14.65319443
159.60113525,159.58006287,14.78414917
160.65103149,160.65058899,14.92055893
161.70092773,161.70918274,15.01877403
162.75108337,162.85501099,15.16064167
163.80000305,163.93667603,15.25067234
164.85003662,164.81411743,15.38162613
165.89999390,165.82530212,15.53440475
166.95117188,166.93041992,15.68991280
168.00109863,168.09257507,15.79085636
169.05113220,168.96034241,15.91089725
170.10018921,169.92758179,16.02548218
171.15118408,171.24029541,16.11278534
172.20094299,172.20657349,16.24919510
173.25083923,173.13784790,16.38560486
174.30058289,174.24873352,16.51383209
175.35067749,175.59178162,16.62841606
176.40055847,176.45268250,16.79210854
177.45066833,177.63668823,16.88759613
178.50064087,178.50660706,17.02400589
179.55052185,179.61810303,17.14677620
180.60046387,180.66813660,17.27227211
181.65103149,181.65447998,17.40595436
182.70100403,182.68727112,17.52872467
183.75094604,183.87455750,17.70605659
184.80117798,184.83250427,17.79063225
