Time,Temperature,Change in Length
370.6504211,370.8556824,42.49453735
371.7004395,371.6115723,42.66096115
372.7505493,372.8081665,42.79191208
373.8008118,373.6635742,42.92832565
374.8506165,374.852356,43.07291794
375.9006653,375.9225769,43.19841766
376.9508057,376.8894653,43.31299973
378.0007324,378.1427612,43.50670242
379.0510254,379.15448,43.70859146
380.1005249,380.1068726,43.80680466
381.1502075,381.2374573,43.95140076
382.2008057,382.1268005,44.11236572
383.2501221,383.1624756,44.24332047
384.3006592,384.3936768,44.38791275
385.3507385,385.2502136,44.54069519
386.4006043,386.4466248,44.6661911
387.4506836,387.4627075,44.80532837
388.5007019,388.4303589,44.96902084
389.550293,389.5881348,45.12453079
390.6010437,390.7505798,45.22274399
391.650116,391.6152039,45.3946228
392.7009277,392.6205139,45.52830505
393.7503967,393.7731628,45.71928024
394.8010254,394.9126282,45.84204865
395.8503113,395.8025208,46.027565
396.9000244,396.8132935,46.15306473
397.9508362,397.9746399,46.27310562
399.000946,399.1317139,46.44225311
400.0510559,399.996521,46.54047012
401.1000061,401.1737366,46.69052124
402.1509705,402.2668457,46.83238602
403.2000122,403.3489075,46.998806
404.2500916,404.3025513,47.14067459
405.3001709,405.3749085,47.27981186
406.3500977,406.6251831,47.41622162
407.4002991,407.2750855,47.5553627
408.4506226,408.4896851,47.74087906
409.5006409,409.5162964,47.86637878
410.5509949,410.6260986,48.04098129
411.6009216,411.6286316,48.17466354
412.6506348,412.5401917,48.31653214
413.7004089,413.6586914,48.49386597
414.7509766,414.7921753,48.60844803
415.8005981,415.8776245,48.7721405
416.8505249,416.8533936,48.91128159
417.9002686,417.9980774,49.07770157
418.9511108,418.8937683,49.19228363
420.0005798,419.975708,49.36143494
421.050354,421.1562195,49.51148605
422.1001892,422.1733398,49.66153717
423.150177,423.1493835,49.79521942
424.1999817,424.1183472,49.96709442
425.250824,425.2545471,50.09804916
426.300354,426.220398,50.23445892
427.3508911,427.2906189,50.35995865
428.4004211,428.3871765,50.52637863
429.4511414,429.2923279,50.66006088
430.5009766,430.4305725,50.80738449
431.5509644,431.6175537,50.93015289
432.6011658,432.7380371,51.10202789
433.6500244,433.5532837,51.25481033
434.7001953,434.589447,51.41850281
435.75,435.7542419,51.5385437
436.8002319,436.6168518,51.71860504
437.8500061,437.8003845,51.82773209
438.9006043,438.9720764,52.01597977
439.9511108,439.8094177,52.13056183
441.0009155,440.9585266,52.28607178
442.0509949,442.2253418,52.4142952
443.1000977,443.1390991,52.59162903
444.1500549,444.3329773,52.71712875
445.2000427,445.1576233,52.90264511
446.2506714,446.0865784,53.0445137
447.3004456,447.2786255,53.22184372
448.3501282,448.3751221,53.3118782
449.400116,449.5343628,53.48920822
450.4500122,450.445343,53.62016296
451.5000916,451.5399475,53.77567291
452.5502625,452.5290222,53.94754791
453.6004944,453.5582275,54.05121994
454.6504517,454.7035523,54.19581604
455.7001648,455.6938782,54.37041855
456.7503052,456.8103333,54.49591827
457.8004761,457.8728027,54.63232803
458.8506775,458.8604431,54.82875824
459.9006653,459.8764343,54.94334412
460.9506226,460.9345398,55.10157776
462.0006104,462.031311,55.23526001
463.0511169,463.0044251,55.39895248
464.1008911,464.2128906,55.53263474
465.1510925,465.272583,55.70451355
466.2002564,466.2029419,55.82728195
467.25,467.2440186,56.00188828
468.3008423,468.2425232,56.15193939
469.3508301,469.3746948,56.29380417
470.4006348,470.4240418,56.48205185
471.4504395,471.4136658,56.6157341
472.5003967,472.3850403,56.73031998
473.5503845,473.5045471,56.89401245
474.6006165,474.533844,57.06315994
475.6506958,475.6184692,57.18047333
476.7008362,476.6029053,57.32506943
477.7511597,477.7077026,57.5160408
478.800354,478.7846069,57.62789917
479.8501282,479.7531433,57.7834053
480.9006043,480.907898,57.98802185
481.9504395,481.8941345,58.00439072
483.0007629,482.9435425,58.28266907
484.0508118,484.0643311,58.44636154
485.1010132,485.1243591,58.54730225
486.1509094,486.1331787,58.68917084
487.2007141,487.1887817,58.84194946
488.2506714,488.4372559,58.96744919
489.3003845,489.2415772,59.10385895
490.3505859,490.476471,59.3384819
491.4009399,491.3414612,59.45034027
492.4509277,492.5123901,59.66313934
493.5007324,493.4634399,59.7258873
494.5506287,494.576294,59.84592819
495.6007385,495.6301575,60.00416565
496.6504822,496.6804504,60.20059586
497.7001648,497.5891724,60.33700562
498.750946,498.7467957,60.45159149
499.8004761,499.8330689,60.68075943
500.8504334,500.8077698,60.80080032
501.9003601,501.91745,60.91265869
502.9503784,502.9758301,61.07907867
504.0005798,503.9820252,61.22094727
