Time,Temperature,Change in Length
0.00000000,24.21207237,0.00000000
1.05092800,23.92912102,-0.15550777
2.10038590,24.22844696,-0.15823597
3.15033603,24.46106911,-0.18824625
4.20089912,24.25347328,-0.17460522
5.25044823,24.40672874,-0.13641030
6.30058384,24.56130981,-0.15005136
7.35011721,24.46698380,-0.11731291
8.40110493,24.50387573,-0.15550777
9.45083427,24.74680328,-0.08184618
10.50053120,25.00141907,-0.08730263
11.55021000,25.36189651,-0.08184618
12.60104084,25.42790794,-0.03546667
13.65075779,25.48215103,-0.04092312
14.70072079,25.63975906,-0.00545645
15.75053501,25.91999054,0.03819489
16.80009842,26.25194931,0.06274873
17.85091209,26.63887215,0.09275901
18.90014458,27.05209923,0.15005130
19.95054436,27.42135048,0.16914874
21.00096512,27.91437340,0.24281031
22.05113411,28.60228539,0.30010265
23.10096931,29.14649391,0.35466683
24.15047646,29.85321236,0.43378472
25.20022583,30.10505295,0.48562062
26.25105667,30.77838326,0.55928218
27.30055618,31.33033943,0.61384642
28.35068512,31.62492943,0.61657453
29.40042877,32.13209915,0.66568232
30.45027924,32.08142853,0.68750799
31.50001335,32.11188126,0.70933354
32.55088043,32.54355240,0.70387721
33.60057068,33.43579483,0.82391828
34.65068054,34.50967407,0.96851319
35.70121002,35.50767517,1.12402105
36.75108719,36.86513138,1.23314929
37.80044174,37.77086258,1.36137486
38.85074997,38.67048264,1.46231866
39.90120697,39.78782272,1.56599045
40.95100021,40.99961472,1.68330336
42.00027847,42.01521683,1.78424692
43.05077362,43.15912247,1.92065716
44.10031128,44.18818665,2.07889318
45.15098953,45.26061249,2.16346765
46.20070648,45.97294617,2.26441121
47.25013733,47.36120987,2.42537546
48.30077744,48.59726715,2.52904725
49.35046768,49.39710236,2.65727282
50.40105820,50.33369827,2.73093438
51.45049286,51.30176544,2.86461663
52.50022888,52.43884277,2.97647309
53.55116272,53.62434769,3.09924221
54.60108948,54.59006119,3.18654490
55.65000534,55.85730743,3.35023713
56.70091629,56.80754471,3.44299626
57.75048065,57.81630707,3.56576562
58.80013275,58.69989014,3.69944739
59.85075378,59.83337021,3.79220653
60.90011978,60.79522705,3.95862675
61.95061493,61.85568619,4.01319122
63.00014877,62.82865524,4.14687300
64.05065918,64.13567352,4.25600147
65.10118103,65.06716156,4.37331438
