Time,Temperature,Change in Length
0.00000000,23.85141563,0.00000000
1.05092704,23.82049751,-0.19097441
2.10032701,24.10931015,-0.22098470
3.15112901,24.26561165,-0.18824625
4.20055294,24.14195633,-0.14732313
5.25061989,24.40429306,-0.11458468
6.30026579,24.20533943,-0.08730263
7.35006523,24.56919098,-0.06820518
8.40075684,24.80041313,-0.10094362
9.45028305,24.80475426,-0.05183595
10.50008965,25.14167595,-0.06547695
11.55063343,25.22117996,-0.03273851
12.60016727,25.27113724,-0.04365128
13.65013981,25.42836952,-0.07911801
14.70112228,25.81928825,-0.01091284
15.75059700,26.17605019,0.09003079
16.80038261,26.33754349,0.06274867
17.85098457,26.45476151,0.12822568
18.90094185,26.87251282,0.13368213
19.95076942,27.79333305,0.19643080
21.00063515,28.02293777,0.23189747
22.05047226,28.57647324,0.34102571
23.10013580,29.30878067,0.36557961
24.15115547,29.73281097,0.48834884
25.20009422,30.13754463,0.49107707
26.25090408,31.02276993,0.61930275
27.30093575,31.33782196,0.65204120
28.35059929,32.22830963,0.68750799
29.40065384,32.48888397,0.76935410
30.45011330,32.59753036,0.76116955
31.50054741,33.06623077,0.79117978
32.55026245,32.76964951,0.82664645
33.60017776,33.50139999,0.95487213
34.65031815,34.79552078,1.01216435
35.70018768,35.58299637,1.13220549
36.75042725,36.81672668,1.23587728
37.80005264,37.99017715,1.35591841
38.85040665,38.95802689,1.44322109
39.90004730,39.94391251,1.63692355
40.95056915,41.16212845,1.70785713
42.00015640,41.78285980,1.80607259
43.05080414,43.05600357,1.94793928
44.10118484,44.25085068,2.04615450
45.15081024,45.22143936,2.20166254
46.20081329,46.26195908,2.29169321
47.25068665,47.27199554,2.38172388
48.30017090,48.38065338,2.51813459
49.35081482,49.36110306,2.65181637
50.40068054,50.68115234,2.74184704
51.45006943,51.43726349,2.87007284
52.50071335,52.39343262,3.01193953
53.55038452,53.67474747,3.10469866
54.60108185,54.60997772,3.24929333
55.65081787,55.52954483,3.30112934
56.70021820,56.55476379,3.45118093
57.75072479,57.73731613,3.57667828
58.80008698,58.55784988,3.70490408
59.85078812,59.91857147,3.83585787
60.90046692,61.02492523,3.92043209
61.95024490,61.88341522,4.03501701
63.00117111,62.93896103,4.16324234
64.05075073,64.00450897,4.26418638
65.10034180,65.13809204,4.42242193
66.15117645,66.16379547,4.50699663
67.20101166,67.21284485,4.64613485
68.25098419,68.22096252,4.76344776
69.30082703,69.36219788,4.89440155
70.35067749,70.51032257,4.96260691
71.40036011,71.17372894,5.08264780
72.45004272,72.27102661,5.19177628
73.50058746,73.56561279,5.32000208
74.55002594,74.35117340,5.44277143
75.60031128,75.41767883,5.53825855
76.65106964,76.52434540,5.70467901
77.70056152,77.86206055,5.81380749
78.75099182,78.68183899,5.96113062
79.80019379,79.82083130,6.02660751
80.85118866,80.81047058,6.15210485
81.90084076,81.91075134,6.26396132
