Time,Temperature,Change in Length
370.8261719,385.7984314,43.73587036
371.8516846,386.8473206,43.90502167
372.8768921,387.9503174,44.06325531
373.9010925,388.9667358,44.17238617
374.9263916,390.0547485,44.3278923
375.9514465,390.9334412,44.45611954
376.9762573,392.0846252,44.58161545
378.001709,392.9277344,44.72348404
379.0262146,393.9587097,44.84079361
380.0515747,395.080719,44.97993469
381.0762024,396.0196228,45.14908218
382.101593,397.1945496,45.29367828
383.1261597,398.1744385,45.41917419
384.1511536,399.0289612,45.59923553
385.1764526,400.1782227,45.71382141
386.2012634,401.1017151,45.80657959
387.2262573,402.1517639,45.96481705
388.2512207,403.2111511,46.08758545
389.2765503,404.2766419,46.24582291
390.3014526,405.2513733,46.37677383
391.326294,406.4086609,46.50772858
392.3514404,407.3182678,46.64959717
393.376709,408.3129883,46.81328964
394.4016724,409.4738464,46.93605804
395.4259949,410.3786926,47.08065414
396.4517822,411.3800659,47.26071548
397.4761658,412.4866638,47.32891846
398.5018616,413.4711914,47.50079727
399.5263672,414.5750122,47.64812088
400.5519104,415.5762024,47.73815155
401.5764465,416.5248413,47.91002655
402.6011353,417.5061035,48.04098129
403.6263428,418.5803528,48.16920853
404.6520081,419.6266785,48.33835602
405.6769714,420.61203,48.45021057
406.7018127,421.7930908,48.6275444
407.7268982,422.7048035,48.7475853
408.7520142,423.6994629,48.84852982
409.7763367,424.846344,48.99039841
410.8009338,425.6994934,49.14317703
411.8267212,426.8389893,49.23866272
412.8511047,427.8800659,49.42963791
413.8765259,428.7418823,49.53603745
414.9011231,429.8018799,49.64789581
415.927002,430.9087219,49.82522964
416.9515991,431.8614502,49.99710464
417.9769898,433.1329346,50.09804916
419.0012512,433.9831238,50.19353485
420.0264587,434.9180298,50.28629303
421.052063,436.0278626,50.45817184
422.0765991,437.1819458,50.6436882
423.1009827,438.0290527,50.82920837
424.1264038,439.2154236,50.96561813
425.1511231,440.1139526,51.0529213
426.1768189,441.2109985,51.21388626
427.2014465,442.0580444,51.29300308
428.2269287,443.2336121,51.45396805
429.2509766,444.2551575,51.56309509
430.2762451,445.2285461,51.68040848
431.3016357,446.2626038,51.90957642
432.3261719,447.3945618,52.02961731
433.3511963,448.3285217,52.16057205
434.3761597,449.3694458,52.27515793
435.4013672,450.462677,52.47158813
436.4268494,451.4857788,52.62163925
437.451416,452.2864075,52.76350784
438.4759827,453.5352173,52.88627625
439.5019531,454.3371582,52.97903442
440.5263977,455.5149536,53.22184372
441.552002,456.5302429,53.23548508
442.5763245,457.7514343,53.42918777
443.6009216,458.6599426,53.6037941
444.6262817,459.5143127,53.60106659
445.6517944,460.6135864,53.81113815
446.6762085,461.7004089,53.96118927
447.7018433,462.7251587,54.06758881
448.7262268,463.6792603,54.34313583
449.751648,464.6753845,54.39497375
450.7761841,465.767334,54.50137329
451.8018799,466.8713074,54.60231781
452.8259888,467.9122009,54.75782394
453.851593,468.9117127,54.90242004
454.8768005,469.7821045,55.02791595
455.9019165,470.9966431,55.20252228
456.927002,471.9375,55.37440109
457.9510193,472.9090881,55.39895248
458.9761658,473.8592529,55.68541336
460.0010071,474.9670715,55.82455444
461.0263062,476.0635681,55.89821625
462.0516357,477.0299377,56.00734329
463.0760193,478.1012878,56.20104599
464.1015625,478.9936523,56.26652145
465.1269226,479.8977356,56.42748642
466.1513367,481.049469,56.59936523
467.1770325,482.2667542,56.74123001
468.2012024,483.2064209,56.89673996
469.2267456,484.2620544,56.93766022
470.2514648,485.2269592,57.07406998
471.2767334,486.3007507,57.28414536
472.3011169,487.3284302,57.38235855
473.326294,488.2762146,57.57060623
474.3512268,489.3161316,57.85706711
475.376709,490.4237671,57.89253235
476.4010315,491.4763794,57.97983551
477.4267883,492.4043884,58.14898682
478.4513855,493.3263245,58.32358932
479.4766541,494.4363098,58.45999908
480.5016785,495.4553528,58.56912994
481.526001,496.5265503,58.74100494
482.551239,497.5070801,58.84467697
483.5766296,498.5056763,59.01382446
484.6017456,499.5409546,59.11476898
485.6270142,500.5452881,59.27027893
486.6512756,501.576294,59.43669891
487.6769409,502.8374329,59.55946732
488.7012329,503.5580139,59.66313934
489.7270203,504.7709351,59.87321091
490.7515259,505.6112366,60.03963089
491.7760315,506.8772583,60.14603043
492.8014832,507.8500366,60.2087822
493.8265381,508.8308106,60.34246445
494.8516846,509.7079468,60.50615311
495.8763123,510.8452759,60.66984558
496.9020386,511.8342896,60.82808304
497.9262695,513.1414795,61.00541687
498.9516907,513.9549561,61.09817505
499.9762268,514.9882202,61.21548843
501.0016174,515.994751,61.40919113
502.0260925,516.9788818,61.48285294
503.0515747,518.0628052,61.59197998
504.0768127,519.1467285,61.76931381
505.1017151,520.0426025,61.89481354
506.1268005,521.2371826,62.02030945
507.1517029,522.145874,62.17581558
508.1768799,523.2974854,62.25766373
509.2016602,524.2086792,62.42681122
510.2268066,525.2456665,62.5441246
511.251709,526.3051758,62.73237228
512.2759399,527.2907105,62.79784775
513.3015747,528.1907349,62.97790909
514.3270874,529.3640137,63.07885361
515.3513794,530.4057007,63.19343948
516.3759155,531.2975464,63.37622452
517.4014282,532.4130249,63.50718307
518.4260254,533.4069214,63.63541031
519.4519043,534.3693848,63.77727509
520.4765015,535.5315552,63.88095093
521.5010376,536.3788452,64.03372955
522.5266724,537.4680176,64.1892395
523.5509033,538.4713135,64.3392868
524.5765381,539.5195923,64.42932129
525.6011353,540.7009277,64.57118225
526.626709,541.6313477,64.69940948
527.651062,542.5062866,64.87674713
528.6762085,543.75354,65.01042938
529.7015381,544.6828613,65.14683533
530.7263184,545.7444458,65.31325531
531.7510376,546.7966919,65.40601349
532.7765503,547.8276978,65.5506134
533.802002,548.9238892,65.64610291
534.826294,549.847168,65.83707428
535.8519287,550.8597412,65.95438385
536.8762207,551.7653198,66.1317215
537.9019165,552.8429565,66.20265198
538.9265747,553.8939209,66.40180969
539.9520874,554.9280396,66.48092651
540.9762573,555.8953247,66.62007141
542.0014648,557.019104,66.75920868
543.0267334,558.0048828,66.89289093
544.0517578,559.1087647,67.06203461
545.0761108,560.0565186,67.1275177
546.1019898,561.0333252,67.27484131
547.1262817,562.1043701,67.42761993
548.1516724,563.1049805,67.5449295
549.1760864,564.2470703,67.66770172
550.2020874,565.1290283,67.79319763
551.2263794,566.2757568,67.92414856
552.2518921,567.2127686,68.0305481
553.2764893,568.2590332,68.25426483
554.3018799,569.3475952,68.32247162
555.3264771,570.3932495,68.46160889
556.3509522,571.3778687,68.63348389
557.376648,572.3818359,68.72351837
558.4019775,573.3939209,68.84628296
559.4264526,574.2814941,69.00724792
560.4519043,575.3336792,69.10546112
561.4765015,576.6691895,69.21459198
562.5020752,577.5310669,69.37555695
563.5263672,578.6445313,69.51197052
564.5512695,579.5325317,69.63201141
565.5767212,580.5027466,69.72203827
566.6016235,581.7039185,69.89937592
567.6265259,582.5710449,70.05487823
568.6520386,583.5321045,70.12308502
569.6765137,584.7410278,70.33042908
570.7009888,585.7753296,70.42046356
571.7266846,586.7444458,70.54050446
572.7510986,587.5869751,70.62779999
573.7769775,588.6239014,70.85697174
574.8016357,589.8769531,70.9442749
575.8262329,590.8229981,71.0643158
576.8519898,591.8753052,71.15161896
577.8764648,592.9352417,71.3316803
578.9020386,593.9261475,71.41898346
579.9265137,594.9927368,71.56085205
580.9509277,595.9337158,71.66179657
581.9765625,596.8231201,71.79547119
583.0011597,598.0129395,71.96735382
584.0263672,599.0734253,72.06829071
585.0517578,600.0697632,72.13104248
586.0759277,601.0578613,72.3056488
587.1012573,602.3221436,72.44206238
588.1264648,603.1594849,72.57846832
589.1516113,603.9938355,72.65213776
590.1768799,605.2491455,72.83219147
591.2019043,606.2076416,72.938591
592.2269287,607.2098999,73.06409454
593.2514038,608.3787231,73.20869446
594.2762451,609.3128662,73.33691406
595.302063,610.2667236,73.41603851
596.3261108,611.3848877,73.57426453
597.3515625,612.3110962,73.68885803
598.3768921,613.4213867,73.77888489
599.4014282,614.4562378,73.89346313
600.4268189,615.3556519,73.99441528
601.4516602,616.447876,74.12536621
602.4758911,617.4872437,74.25904846
603.5012817,618.3981934,74.40090942
604.5269165,619.4644775,74.51004028
605.5514526,620.5578003,74.60006714
606.5759888,621.5169678,74.71738434
607.6015625,622.6170044,74.90562439
608.6260986,623.5568237,74.95201111
609.6518555,624.4923096,75.05295563
610.6763916,625.6547852,75.18936157
611.7011719,626.6480713,75.31213379
612.7265625,627.6774902,75.4185257
613.7512817,628.7781982,75.51129913
614.7758789,629.7615967,75.65588379
615.8016357,630.9348755,75.76773834
616.8261719,631.842041,75.92871094
617.8517456,632.7896118,76.04875183
618.87677,633.7629395,76.1115036
619.9019775,634.9499512,76.25881195
620.9267578,635.8797607,76.40615082
621.9520874,636.9337769,76.49071503
622.9763184,637.9702759,76.63803864
624.001709,638.9064331,76.75807953
625.026001,640.0321045,76.82627869
626.0518799,641.0489502,76.95178986
627.0770264,642.0648804,77.06364441
628.1009522,643.1591797,77.23278809
629.126709,644.1227417,77.27098846
630.1512451,645.2111816,77.38011169
631.1769409,646.0794067,77.55199432
632.2019653,647.2387695,77.63656616
633.2262573,648.2427368,77.71841431
634.2520142,649.2028198,77.86027527
635.2766724,650.2954102,77.98031616
636.3015137,651.3169556,78.16311646
637.3259888,652.3248291,78.29406738
638.3516235,653.335022,78.38954926
639.37677,654.5471191,78.47685242
640.4013062,655.378418,78.60507202
641.4265747,656.4052124,78.72784424
642.4519653,657.4255371,78.84243011
643.4764404,658.4719238,78.95428467
644.5009155,659.5716553,79.0825119
645.5266724,660.6016846,79.23257446
646.5511475,661.5578003,79.31168365
647.5767822,662.4761353,79.44809723
648.6019287,663.5807495,79.65270233
649.6268921,664.6881104,79.77001953
650.6509399,665.6828613,79.77001953
651.6762085,666.612854,79.92279816
652.701416,667.7053223,80.04284668
653.7265015,668.7000122,80.15742493
654.7518311,669.6958618,80.22836304
655.776001,670.7662964,80.389328
656.8015747,671.8061523,80.51754761
657.8260498,672.7528076,80.6375885
658.8515625,673.9095459,80.74671936
659.8770752,674.8574219,80.97862244
660.9013672,675.9754639,81.01136017
661.9262085,676.923584,81.14503479
662.9509277,677.9134522,81.19960022
663.9760132,679.0681152,81.34966278
665.0010376,680.0080566,81.50788116
